sample_id,true_label,target_class,direction,budget,operator,full_logit,perturbed_logit,Q,logmel_target_NRMSE,stft_magnitude_target_NRMSE,waveform_gap_vs_OP,magnitude_gap_vs_OP,logmel_gap_vs_OP,phase_gap_vs_original_rad,gl_random_seed
23,1,1,OUT,0.6,OP,0.15868227183818817,-0.20497895777225494,0.3636612296104431,0.19753745198249817,0.24628306925296783,0.0,0.0,0.0,0.0,
23,1,1,OUT,0.6,GL_ORIG64,0.17051298916339874,-0.20169061422348022,0.37220360338687897,0.19412699341773987,0.04247814044356346,0.5782736539840698,0.2493215948343277,0.08752353489398956,0.6303513646125793,
23,1,1,OUT,0.6,GL_RAND64,0.1727050393819809,-0.2016708254814148,0.3743758648633957,0.19410252571105957,0.04365692660212517,1.446143388748169,0.2557474970817566,0.08824706077575684,1.5710796117782593,65.0
23,1,1,OUT,0.8,OP,0.15868227183818817,-0.2207140475511551,0.37939631938934326,0.13516689836978912,0.22922982275485992,0.0,0.0,0.0,0.0,
23,1,1,OUT,0.8,GL_ORIG64,0.17051298916339874,-0.21962420642375946,0.3901371955871582,0.1359393298625946,0.034037232398986816,0.5700682401657104,0.2317434549331665,0.08436621725559235,0.6118550896644592,
23,1,1,OUT,0.8,GL_RAND64,0.1727050393819809,-0.21961046755313873,0.39231550693511963,0.13593073189258575,0.03471501171588898,1.442244052886963,0.23876400291919708,0.08468801528215408,1.5702317953109741,65.0
23,1,1,IN,0.1,OP,0.15868227183818817,-0.1421283632516861,-0.30081063508987427,0.15242286026477814,0.19171181321144104,0.0,0.0,0.0,0.0,
23,1,1,IN,0.1,GL_ORIG64,0.17051298916339874,-0.13889965415000916,-0.3094126433134079,0.13809321820735931,0.0653577595949173,0.5148123502731323,0.17435579001903534,0.06816842406988144,0.6032462120056152,
23,1,1,IN,0.1,GL_RAND64,0.1727050393819809,-0.13886240124702454,-0.31156744062900543,0.13733011484146118,0.06685380637645721,1.432460904121399,0.18612462282180786,0.07150016725063324,1.5701221227645874,65.0
23,1,1,IN,0.2,OP,0.15868227183818817,-0.0677969679236412,-0.22647923976182938,0.10818789899349213,0.18322151899337769,0.0,0.0,0.0,0.0,
23,1,1,IN,0.2,GL_ORIG64,0.17051298916339874,-0.06241220980882645,-0.2329251989722252,0.09699611365795135,0.057552795857191086,0.5018088817596436,0.17000874876976013,0.05935788154602051,0.6231613755226135,
23,1,1,IN,0.2,GL_RAND64,0.1727050393819809,-0.062254734337329865,-0.23495977371931076,0.09865328669548035,0.05951106548309326,1.4528772830963135,0.18132668733596802,0.06245880946516991,1.5719401836395264,65.0
23,1,1,IN,0.4,OP,0.15868227183818817,0.06509165465831757,-0.0935906171798706,0.06182684749364853,0.15767425298690796,0.0,0.0,0.0,0.0,
23,1,1,IN,0.4,GL_ORIG64,0.17051298916339874,0.07281360030174255,-0.09769938886165619,0.04613006114959717,0.04347504302859306,0.4363558888435364,0.14848171174526215,0.05107952654361725,0.624663770198822,
23,1,1,IN,0.4,GL_RAND64,0.1727050393819809,0.0740998238325119,-0.098605215549469,0.052564676851034164,0.05548534169793129,1.4288880825042725,0.16103030741214752,0.058126602321863174,1.570340871810913,65.0
23,1,1,IN,0.6,OP,0.15868227183818817,0.13568048179149628,-0.023001790046691895,0.06778008490800858,0.16045820713043213,0.0,0.0,0.0,0.0,
23,1,1,IN,0.6,GL_ORIG64,0.17051298916339874,0.14559219777584076,-0.024920791387557983,0.06350582838058472,0.041421860456466675,0.42089924216270447,0.15226007997989655,0.04847056791186333,0.6556233167648315,
23,1,1,IN,0.6,GL_RAND64,0.1727050393819809,0.1477576643228531,-0.024947375059127808,0.06900155544281006,0.05414906144142151,1.4292999505996704,0.16501972079277039,0.056761484593153,1.571499228477478,65.0
23,1,1,IN,0.8,OP,0.15868227183818817,0.15557287633419037,-0.0031093955039978027,0.05957532674074173,0.16346785426139832,0.0,0.0,0.0,0.0,
23,1,1,IN,0.8,GL_ORIG64,0.17051298916339874,0.16693834960460663,-0.0035746395587921143,0.05406453460454941,0.04080381244421005,0.4263494610786438,0.15592223405838013,0.04846084862947464,0.6454513072967529,
23,1,1,IN,0.8,GL_RAND64,0.1727050393819809,0.16912992298603058,-0.0035751163959503174,0.060237567871809006,0.053390856832265854,1.4303807020187378,0.16834697127342224,0.056557416915893555,1.5721591711044312,65.0
24,1,1,OUT,0.1,OP,0.2033231109380722,0.10159175097942352,0.10173135995864868,0.09804527461528778,0.15457646548748016,0.0,0.0,0.0,0.0,
24,1,1,OUT,0.1,GL_ORIG64,0.21876473724842072,0.11517922580242157,0.10358551144599915,0.08526523411273956,0.06295489519834518,0.39776960015296936,0.13515253365039825,0.05938861519098282,0.6000072360038757,
24,1,1,OUT,0.1,GL_RAND64,0.22214101254940033,0.11772610247135162,0.1044149100780487,0.08983182162046432,0.07744351774454117,1.4477689266204834,0.15296877920627594,0.06997593492269516,1.573508620262146,66.0
24,1,1,OUT,0.2,OP,0.2033231109380722,0.014165297150611877,0.18915781378746033,0.11094065010547638,0.17422226071357727,0.0,0.0,0.0,0.0,
24,1,1,OUT,0.2,GL_ORIG64,0.21876473724842072,0.027288809418678284,0.19147592782974243,0.0969192162156105,0.06254847347736359,0.4361770451068878,0.15799765288829803,0.06588108837604523,0.6068050861358643,
24,1,1,OUT,0.2,GL_RAND64,0.22214101254940033,0.028759554028511047,0.19338145852088928,0.10114344954490662,0.07871344685554504,1.4537081718444824,0.17322197556495667,0.07542118430137634,1.5734201669692993,66.0
24,1,1,OUT,0.4,OP,0.2033231109380722,-0.12274424731731415,0.32606735825538635,0.13999204337596893,0.23545613884925842,0.0,0.0,0.0,0.0,
24,1,1,OUT,0.4,GL_ORIG64,0.21876473724842072,-0.11265099793672562,0.33141573518514633,0.12460548430681229,0.04476630687713623,0.5551611185073853,0.23558612167835236,0.08002805709838867,0.6069087982177734,
24,1,1,OUT,0.4,GL_RAND64,0.22214101254940033,-0.11263442039489746,0.3347754329442978,0.12537431716918945,0.04987547919154167,1.4407974481582642,0.2430962771177292,0.08254349231719971,1.5733604431152344,66.0
24,1,1,OUT,0.6,OP,0.2033231109380722,-0.18333634734153748,0.3866594582796097,0.13974341750144958,0.23054514825344086,0.0,0.0,0.0,0.0,
24,1,1,OUT,0.6,GL_ORIG64,0.21876473724842072,-0.17688900232315063,0.39565373957157135,0.11880761384963989,0.05105666443705559,0.5660656094551086,0.22953671216964722,0.0895581915974617,0.6267884969711304,
24,1,1,OUT,0.6,GL_RAND64,0.22214101254940033,-0.176847442984581,0.3989884555339813,0.11963490396738052,0.053660206496715546,1.4371155500411987,0.2410249561071396,0.09312976896762848,1.5751043558120728,66.0
24,1,1,OUT,0.8,OP,0.2033231109380722,-0.2093261033296585,0.4126492142677307,0.1008196547627449,0.23236307501792908,0.0,0.0,0.0,0.0,
24,1,1,OUT,0.8,GL_ORIG64,0.21876473724842072,-0.2062675654888153,0.425032302737236,0.06175615265965462,0.048458412289619446,0.573642373085022,0.23345240950584412,0.08755499869585037,0.5993770956993103,
24,1,1,OUT,0.8,GL_RAND64,0.22214101254940033,-0.20626965165138245,0.4284106642007828,0.06426532566547394,0.05930037796497345,1.439862847328186,0.24604853987693787,0.093239925801754,1.5752543210983276,66.0
24,1,1,IN,0.1,OP,0.2033231109380722,-0.11726974695920944,-0.32059285789728165,0.1302979439496994,0.16509929299354553,0.0,0.0,0.0,0.0,
24,1,1,IN,0.1,GL_ORIG64,0.21876473724842072,-0.11426917463541031,-0.333033911883831,0.11879715323448181,0.07174524664878845,0.48429960012435913,0.1383727490901947,0.06522790342569351,0.5920865535736084,
24,1,1,IN,0.1,GL_RAND64,0.22214101254940033,-0.11364412307739258,-0.3357851356267929,0.12173698097467422,0.07889716327190399,1.4421054124832153,0.15841810405254364,0.07252540439367294,1.5743365287780762,66.0
24,1,1,IN,0.2,OP,0.2033231109380722,-0.03318013250827789,-0.2365032434463501,0.08646748214960098,0.1449686735868454,0.0,0.0,0.0,0.0,
24,1,1,IN,0.2,GL_ORIG64,0.21876473724842072,-0.029026634991168976,-0.2477913722395897,0.0804782435297966,0.0609046034514904,0.4275248944759369,0.12257847189903259,0.05144686996936798,0.5926106572151184,
24,1,1,IN,0.2,GL_RAND64,0.22214101254940033,-0.02712254226207733,-0.24926355481147766,0.08539514988660812,0.07118020206689835,1.442617416381836,0.14374516904354095,0.06140816584229469,1.575293779373169,66.0
24,1,1,IN,0.4,OP,0.2033231109380722,0.0997018814086914,-0.1036212295293808,0.05161837115883827,0.13852760195732117,0.0,0.0,0.0,0.0,
24,1,1,IN,0.4,GL_ORIG64,0.21876473724842072,0.10666744410991669,-0.11209729313850403,0.047386568039655685,0.05402245745062828,0.4101368188858032,0.12020137906074524,0.04648726433515549,0.5918299555778503,
24,1,1,IN,0.4,GL_RAND64,0.22214101254940033,0.11002238094806671,-0.11211863160133362,0.05791201815009117,0.0687461569905281,1.444812297821045,0.14126265048980713,0.05789823457598686,1.5739058256149292,66.0
24,1,1,IN,0.6,OP,0.2033231109380722,0.15699273347854614,-0.04633037745952606,0.052316814661026,0.14438332617282867,0.0,0.0,0.0,0.0,
24,1,1,IN,0.6,GL_ORIG64,0.21876473724842072,0.16751901805400848,-0.05124571919441223,0.049027808010578156,0.05291669815778732,0.41685858368873596,0.12783588469028473,0.04718909412622452,0.6339386105537415,
24,1,1,IN,0.6,GL_RAND64,0.22214101254940033,0.17088650166988373,-0.0512545108795166,0.05876503884792328,0.06751831620931625,1.4445990324020386,0.1474592536687851,0.05806522071361542,1.5750263929367065,66.0
24,1,1,IN,0.8,OP,0.2033231109380722,0.1883518546819687,-0.014971256256103516,0.04919711872935295,0.1455230712890625,0.0,0.0,0.0,0.0,
24,1,1,IN,0.8,GL_ORIG64,0.21876473724842072,0.20164038240909576,-0.01712435483932495,0.044694773852825165,0.05274125188589096,0.41876456141471863,0.12933887541294098,0.047639474272727966,0.6145981550216675,
24,1,1,IN,0.8,GL_RAND64,0.22214101254940033,0.20501218736171722,-0.017128825187683105,0.05503753945231438,0.06721796840429306,1.4444806575775146,0.14875207841396332,0.05831112340092659,1.575087308883667,66.0
25,1,1,OUT,0.1,OP,-0.06067909300327301,-0.10199114680290222,0.04131205379962921,0.09467252343893051,0.21418096125125885,0.0,0.0,0.0,0.0,
25,1,1,OUT,0.1,GL_ORIG64,-0.04965104162693024,-0.0929582491517067,0.04330720752477646,0.07997117191553116,0.03979980945587158,0.5400393009185791,0.21345621347427368,0.06427355855703354,0.5937293767929077,
25,1,1,OUT,0.1,GL_RAND64,-0.04907536506652832,-0.09242013841867447,0.04334477335214615,0.08326506614685059,0.05527978017926216,1.4327950477600098,0.22354605793952942,0.06898505240678787,1.5729507207870483,67.0
25,1,1,OUT,0.2,OP,-0.06067909300327301,-0.13430243730545044,0.07362334430217743,0.13374212384223938,0.21292589604854584,0.0,0.0,0.0,0.0,
25,1,1,OUT,0.2,GL_ORIG64,-0.04965104162693024,-0.12698407471179962,0.07733303308486938,0.12188685685396194,0.045004092156887054,0.5367205142974854,0.2107478827238083,0.06775733083486557,0.6124231219291687,
25,1,1,OUT,0.2,GL_RAND64,-0.04907536506652832,-0.12647201120853424,0.07739664614200592,0.12481110543012619,0.06386448442935944,1.4491406679153442,0.22283080220222473,0.07375272363424301,1.574727177619934,67.0
25,1,1,OUT,0.4,OP,-0.06067909300327301,-0.17755654454231262,0.11687745153903961,0.14282381534576416,0.2049356997013092,0.0,0.0,0.0,0.0,
25,1,1,OUT,0.4,GL_ORIG64,-0.04965104162693024,-0.17322352528572083,0.12357248365879059,0.12450221925973892,0.05748320743441582,0.508084774017334,0.1975216418504715,0.0773918554186821,0.6144120693206787,
25,1,1,OUT,0.4,GL_RAND64,-0.04907536506652832,-0.17289170622825623,0.1238163411617279,0.12946483492851257,0.08782422542572021,1.4381309747695923,0.21691960096359253,0.08666446805000305,1.5734708309173584,67.0
25,1,1,OUT,0.6,OP,-0.06067909300327301,-0.20160692930221558,0.14092783629894257,0.15216520428657532,0.19866371154785156,0.0,0.0,0.0,0.0,
25,1,1,OUT,0.6,GL_ORIG64,-0.04965104162693024,-0.19928404688835144,0.1496330052614212,0.1282201111316681,0.08624587208032608,0.48173272609710693,0.17587308585643768,0.08229981362819672,0.6007074117660522,
25,1,1,OUT,0.6,GL_RAND64,-0.04907536506652832,-0.199063241481781,0.14998787641525269,0.12853646278381348,0.1074238047003746,1.4588724374771118,0.20608991384506226,0.10039098560810089,1.5752612352371216,67.0
25,1,1,OUT,0.8,OP,-0.06067909300327301,-0.21863551437854767,0.15795642137527466,0.13626359403133392,0.21088816225528717,0.0,0.0,0.0,0.0,
25,1,1,OUT,0.8,GL_ORIG64,-0.04965104162693024,-0.21792049705982208,0.16826945543289185,0.09813541173934937,0.08004872500896454,0.5123035907745361,0.1935252547264099,0.09093796461820602,0.5798056721687317,
25,1,1,OUT,0.8,GL_RAND64,-0.04907536506652832,-0.21785977482795715,0.16878440976142883,0.10351092368364334,0.08496976643800735,1.4341882467269897,0.20319651067256927,0.09884952008724213,1.5750972032546997,67.0
25,1,1,IN,0.1,OP,-0.06067909300327301,-0.18352480232715607,-0.12284570932388306,0.15599700808525085,0.21563903987407684,0.0,0.0,0.0,0.0,
25,1,1,IN,0.1,GL_ORIG64,-0.04965104162693024,-0.18070314824581146,-0.13105210661888123,0.14465869963169098,0.04791921004652977,0.5601234436035156,0.21206733584403992,0.07109925895929337,0.5863031148910522,
25,1,1,IN,0.1,GL_RAND64,-0.04907536506652832,-0.18060995638370514,-0.13153459131717682,0.14599423110485077,0.048197388648986816,1.442272663116455,0.21938179433345795,0.07296715676784515,1.5752649307250977,67.0
25,1,1,IN,0.2,OP,-0.06067909300327301,-0.1517963409423828,-0.0911172479391098,0.1616600900888443,0.22196878492832184,0.0,0.0,0.0,0.0,
25,1,1,IN,0.2,GL_ORIG64,-0.04965104162693024,-0.14666661620140076,-0.09701557457447052,0.15144893527030945,0.044190894812345505,0.5621728897094727,0.21972721815109253,0.07348865270614624,0.6186932325363159,
25,1,1,IN,0.2,GL_RAND64,-0.04907536506652832,-0.14655786752700806,-0.09748250246047974,0.1519784778356552,0.04494038596749306,1.4218906164169312,0.22630789875984192,0.07522206753492355,1.575830340385437,67.0
25,1,1,IN,0.4,OP,-0.06067909300327301,-0.11015629768371582,-0.04947720468044281,0.0906185582280159,0.21997712552547455,0.0,0.0,0.0,0.0,
25,1,1,IN,0.4,GL_ORIG64,-0.04965104162693024,-0.10233835875988007,-0.05268731713294983,0.07246220111846924,0.041484128683805466,0.5591046810150146,0.21897843480110168,0.06747831404209137,0.6338182091712952,
25,1,1,IN,0.4,GL_RAND64,-0.04907536506652832,-0.10215502977371216,-0.05307966470718384,0.07283419370651245,0.04241655394434929,1.4352203607559204,0.22538067400455475,0.0690208226442337,1.5756691694259644,67.0
25,1,1,IN,0.6,OP,-0.06067909300327301,-0.08601624518632889,-0.025337152183055878,0.07288265973329544,0.2172674536705017,0.0,0.0,0.0,0.0,
25,1,1,IN,0.6,GL_ORIG64,-0.04965104162693024,-0.07647065818309784,-0.026819616556167603,0.04980011656880379,0.039764028042554855,0.5525562167167664,0.21674902737140656,0.064273901283741,0.625160813331604,
25,1,1,IN,0.6,GL_RAND64,-0.04907536506652832,-0.07607419043779373,-0.02699882537126541,0.052844371646642685,0.04568273574113846,1.4328815937042236,0.22360847890377045,0.06676339358091354,1.5755387544631958,67.0
25,1,1,IN,0.8,OP,-0.06067909300327301,-0.06700358539819717,-0.006324492394924164,0.06335920840501785,0.21255679428577423,0.0,0.0,0.0,0.0,
