sample_id,direction,GL_ORIG64,GL_RAND64,OP,delta_AUC_OP_minus_GL_ORIG64,delta_AUC_OP_minus_GL_RAND64
30,OUT,-0.000898568332195252,-0.0009071089327335086,-0.0005802735686302352,0.00031829476356501677,0.0003268353641032734
31,IN,0.00025120899081226003,0.0002555839717388,0.00023969635367390003,-1.151263713836001e-05,-1.5887618064899952e-05
31,OUT,0.00045828595757480006,0.0004539251327514201,0.00053495615720746,7.667019963265994e-05,8.103102445603991e-05
32,IN,-0.16932775527238847,-0.17005376666784286,-0.16492033191025257,0.004407423362135898,0.005133434757590288
32,OUT,0.20949525088071824,0.2096631482243538,0.2024784177541733,-0.007016833126544941,-0.007184730470180506
33,IN,0.04283749461174008,0.04357591569423673,0.042322783917188606,-0.0005147106945514734,-0.0012531317770481248
33,OUT,-0.0004275277256965366,-0.0004707068204879353,-7.897242903707829e-05,0.0003485552966594583,0.000391734391450857
34,IN,0.023166892677545518,0.02319142222404477,0.021334674209356273,-0.0018322184681892444,-0.0018567480146884953
34,OUT,0.001404850929975485,0.0013445779681205451,0.001746665686368895,0.0003418147563934099,0.0004020877182483499
35,IN,-0.09918282106518743,-0.09932628646492955,-0.09423283636569973,0.0049499846994876945,0.005093450099229818
35,OUT,0.24522455707192423,0.24715294688940045,0.24230908825993536,-0.0029154688119888694,-0.004843858629465098
36,IN,0.011880996823310806,0.011899353563785532,0.01106886044144628,-0.0008121363818645259,-0.0008304931223392514
36,OUT,0.000404617190360995,0.00039923861622806,0.00047016665339465007,6.554946303365507e-05,7.092803716659006e-05
37,IN,-0.035274589061737034,-0.035513602197170216,-0.03274366334080692,0.0025309257209301175,0.0027699388563632993
37,OUT,0.07841184958815571,0.07904191985726353,0.07528087124228476,-0.0031309783458709495,-0.0037610486149787653
38,IN,0.0507047802209854,0.051604355871677374,0.0499676689505577,-0.0007371112704276997,-0.001636686921119672
38,OUT,-0.0011933550238608895,-0.001193376630544642,-0.0010475076735019665,0.00014584735035892303,0.00014586895704267553
39,IN,-0.05399806499481198,-0.054247140139341336,-0.049809356778860066,0.004188708215951915,0.0044377833604812705
39,OUT,0.13933802731335163,0.14083188362419607,0.13495641760528088,-0.0043816097080707495,-0.005875466018915199
